"cliente","LTV","Deal","Revenue Share","Servico extra","corretagem","lt"
Army Br(C.T. Almeida Confeccao )(Army Fitness Wear Confeccao Ltda .),613268.75,434000.0,77616.60999999999,,101652.14,26
Agrobill(G. L. Bill & Cia. Ltda. ),600680.0,600680.0,,,,43
Suno(Suno S.A.),600000.0,600000.0,,,,13
It Store,594224.86,551497.0,,,42727.86,55
Experimento Intercâmbio Cultural (Cvc Brasil Operadora E Agencia De Viagens S.A.),574776.0,574776.0,,,,12
The Best Açaí | Franqueadora (Grupo The Best Franchising Ltda),548160.0,405660.0,142500.0,,,20
Jorge Bischoff | Franqueadora | Expansão (Bischoff Creative Group Ltda ),543000.0,264000.0,279000.0,,,27
Linx Automotivo(Linx Automotivo Ltda),519210.0,519210.0,,,,11
Qualidade Em Saúde S/A(Qualidade Em Saude Gestao E Tecnologia S/A ),504000.0,504000.0,,,,28
Litoral Verde Viagens(L. V. Operadora De Viagens E Turismo Ltda),503010.0,503010.0,,,,23
Lebes 9,495963.49000000005,495963.49000000005,,,,23
Samech(Sameach Industria E Comercio De Acessorios Ltda ),489500.0,489500.0,,,,25
Bag-Online Comercio De Bolsas Ltda(Bag-Online Comercio De Bolsas Ltda),478104.0,478104.0,,,,12
Damie(Dix Industria De Estofados Ltda ),468000.0,468000.0,,,,26
Carmen Steffens - Piloto Pdv(Couroquimica Couros E Acabamentos Ltda Em Recuperacao Judicial ),466200.0,466200.0,,,,19
Slac Academia Treinamentos Eireli (Slac Academia Treinamentos Eireli),464000.0,464000.0,,,,29
Casa Lucci(Lucci & Co. Ltda )(Lucci & Co. Ltda.),452320.0,452320.0,,,,28
Bem Brasil Alimentos S/A,450812.0,450000.0,,,812.0,30
Atacadão Macre(I S Campos Atacadista E Distribuidora Ltda),449811.0,449811.0,,,,9
Intralot (Intralot Do Brasil Comercio De Equipamentos E Programas De Computador Ltda.),441583.52,406000.0,35583.52,,,32
"Docket(R.P.D. - Documentos, Apoio Empresarial E Negocios Ltda)",440511.75,440511.75,,,,7
Grupo Carrera(Ita Pecas Para Veiculos Comercio E Servicos Ltda. ),424316.55,424316.55,,,,8
Supera | Franqueadora | Expansão (Supera Instituto De Educacao Ltda ),424000.0,370000.0,54000.0,,,37
Grupo Obará(G O Eventos E Entretenimento),422238.4400000001,422238.4400000001,,,,16
Concrem Industrial Ltda(Concrem Industrial Ltda),420973.0,410973.0,,10000.0,,15
Eletrokasa(Eb Comercio De Eletrodomesticos Ltda),420000.0,420000.0,,,,8
Houer (Houer Consultoria E Concessoes Ltda),420000.0,420000.0,,,,43
Moveis Estrela(Hc Varejo E Distribuicao De Moveis E Eletrodomesticos Ltda),420000.0,420000.0,,,,8
Dra Cherie (Dra Cherie Comercio & Cia Ltda ),418500.0,418500.0,,,,27
Reconlog Ltda(Reconlog Ltda),408300.0,300800.0,,,107500.0,22
Brinox Metalurgica Sa (Habitat Comercio De Utilidades Ltda ),407787.0,403000.0,,4787.0,,39
New Human Comercial Ltda.(New Human Comercial Ltda.),400500.0,400500.0,,,,31
Carmen Steffens | Multimarcas E Revendores (Couroquimica Couros E Acabamentos Ltda Em Recuperacao Judicial ),400000.0,400000.0,,,,20
Ophicina(Ophicina Comercio De Confeccoes E Calcados Ltda),396779.46,155356.0,191377.46000000002,30996.0,19050.0,23
Action Coach - Empresas,396661.0,396661.0,,,,17
Alran Comercio De Produtos Medicos Ltda(Arte Implantes Materiais Cirurgicos Ltda),393656.25,393656.25,,,,19
Kauffer Pilates(Kauffer Industria E Comercio De Moveis Ltda ),392000.0,392000.0,,,,34
Instituto Raízes(Raizes Instituto Ltda),390000.0,390000.0,,,,10
Drogalis (Liv - Comércio Varejista De Produtos Farmacêuticos Ltda – Epp)),388630.0,325551.0,,54157.0,8922.0,21
Oficial Farma | Saude & Forma-Farmacia De Manipulacao E Homeopatia Eireli(Saude & Forma-Farmacia De Manipulacao E Homeopatia Eireli ),383200.0,383200.0,,,,8
Instituto Aquila( ),379342.0,379342.0,,,,26
Quadra,378000.0,378000.0,,,,54
Gcb Investimentos(Adiante Recebiveis S.A ),377000.0,377000.0,,,,12
Tulipas - Cervejaria E Buffet Ltda(Tulipas - Cervejaria E Buffet Ltda),373955.11999999994,373955.11999999994,,,,17
China Link(China Link Do Brasil Consultoria Internacional Ltda ),372000.0,372000.0,,,,29
Up.P(Up.P Sociedade De Emprestimo Entre Pessoas S.A. ),364000.0,364000.0,,,,19
Kombi Brazil (Bmss Comercio Internacional Ltda ),362520.0,362520.0,,,,23
"Formare Atendimento Comportamental Integrado Ltda(Formare Clinica De Psicologia, Atendimento Comportamental Integrado Ltda)",362470.0,362200.0,,270.0,,9
"123 Milhas - Equipe Google(123 Viagens E Turismo Ltda - Equipe Google )",360000.0,360000.0,,,,6
Bloxs(Btr Servicos De Plataforma Eletronica E Consultoria Empresarial Ltda ),360000.0,360000.0,,,,18
Ober  /Sa(Ober Sa Industria E Comercio),360000.0,360000.0,,,,12
Rancheiro(Cafe Rancheiro Agro Industrial Ltda),360000.0,360000.0,,,,6
Jpb Urano Construtora Ltda(Jpb Urano Construtora Ltda),358776.0,307416.0,51360.0,,,6
Rit Dental(Alexandre Junqueira Marques ),356100.0,356100.0,,,,25
"123 Milhas - Equipe Facebook(123 Viagens E Turismo Ltda - Equipe Facebook )",350000.0,350000.0,,,,5
Enzo Cjdr(Enzo Automoveis Ltda),349720.0,349720.0,,,,7
Seg Investimentos Em Direitos Creditorios S.A.(Seg Investimentos Em Direitos Creditorios S.A.),349000.0,349000.0,,,,18
Galen Academy(Galen Academy Excelencia Em Ensino Ltda ),345329.83999999997,240500.0,104829.84,,,13
Banco Abc Brasil (Banco Abc Brasil S.A.),345000.0,345000.0,,,,46
Wittel(Wittel Comunicacoes Ltda )(Wittel Comunicacoes Ltda),342751.5,342751.5,,,,21
Serpol (Serpol Construcoes E Servicos Ltda  ),340000.0,340000.0,,,,28
Anhanguera Educacional Participacoes S/A(Anhanguera Educacional Participacoes S/A ),339000.0,339000.0,,,,29
Curso Asb(Asb Cursos Digitais Eireli ),337850.0,337850.0,,,,29
Copa Energia Distribuidora De Gás S.A.(Copa Energia Distribuidora De Gás S.A.),336080.0,336080.0,,,,16
Valec Nissan(Valec Motors Ltda),335319.9,96063.0,,77499.75000000001,161757.15,23
"Amaggi Exportacao E Importacao Ltda,(Amaggi Exportacao E Importacao Ltda)",333432.0,333432.0,,,,22
Qualidoc | Farmácia 100% Digital (Qualidoc Farmacia Digital Ltda),330000.0,330000.0,,,,11
Objetiva - Solucoes Em Consorcio S/S Ltda(Objetiva - Solucoes Em Consorcio S/S Ltda)(Objetiva - Solucoes Em Consorcio S/S Ltda),328961.69,328650.0,,,311.69,17
Cbn&D(.Centro Brasiliense De Nefrologia Ltda),327772.5,327772.5,,,,22
Conquer(Conquer Holding Educacional S.A. ),325000.0,325000.0,,,,5
Kr Promotora(Sthefany Mendes Soares ),324000.0,324000.0,,,,6
Bazze Pvc(Bazze Industria De Perfis Em Pvc Ltda),322908.0,322908.0,,,,17
"Logg Comercio Import. E Export. De Materiais Para Acabamento, Iluminacao E Decoracao Ltda(Logg Comercio Import. E Export. De Materiais Para Acabamento, Iluminacao E Decoracao Ltda)",320000.0,320000.0,,,,10
Oral Unic | Franqueadora + Lisodepyl Franqueadora  (Oral Unic Franquia Ltda ),320000.0,320000.0,0.0,,,8
Enova Energia(E-Nova Instalacao E Manutencao Ltda ),319760.85000000003,207000.0,9367.96,,103392.89,42
Sm Pack(Sm Pack Comercio E Representacoes Ltda ),319000.0,319000.0,,,,29
Planeta Liz Produções Artísticas Ltda(Planeta Liz Producoes Artisticas Ltda),318650.0,318650.0,,,,23
"Aniger - Petite Jolie(Aniger - Calcados, Suprimentos E Empreendimentos Ltda.)",318000.0,318000.0,,,,17
Gmr Consorcios Seguros(Gustavo Martins Rosa Representacao),318000.0,318000.0,,,,20
Nova Servicos De Valor Adicionado(Nova Servicos De Valor Adicionado Ltda ),317800.0,317800.0,,,,35
Fabrica De Moveis Boa Vista Ltda(Fabrica De Moveis Boa Vista Ltda. ),317700.0,317700.0,,,,26
Grupo Educacional Fernanda Pessoa(Curso Fernanda Pessoa Ltda ),316266.64000000013,316266.64000000013,,,,15
Up Asset Pepe Hotel,315000.0,315000.0,,,,30
Consolare | Assistência Funerário (Empresa Paulistana De Planos Assistenciais Ltda. ),312800.0,312800.0,,,,22
No Mas Vello Brasil Beauty Franchising Servicos Esteticos Ltda(No Mas Vello Brasil Beauty Franchising Servicos Esteticos Ltda),312000.0,312000.0,,,,8
Gabriel Trentini Sociedade Individual De Advocacia(Gabriel Trentini Sociedade Individual De Advocacia),308760.0,308760.0,,,,6
Smart Fit,308000.0,308000.0,,,,14
Curso Positivo (Positivo Educacional Ltda ),307000.0,307000.0,,,,29
Lebes 14,306327.06,306327.06,,,,26
Amend Cosmeticos(Amend Cosméticos),306000.0,306000.0,,,,18
Grupo Barbosa (Grupo Barbosa),306000.0,306000.0,,,,18
Isomaf,305824.69,271496.0,34328.69,,,53
Dharma (Construtora Dharma S.A.),305000.0,305000.0,,,,61
Trie Soluções (Trie Solucoes Financeiras Eireli ),303750.0,303750.0,,,,14
Luchini Chevrolet Bragança(Irmaosluchinisa),303138.62,59705.0,,139527.83000000002,103905.78999999996,23
Futebol 7 Brasil(Arena Eventos Ltda),302000.0,302000.0,,,,8
Agille Medicamentos(Agille Comercio De Medicamentos Ltda ),299200.0,299200.0,,,,34
Fitland Administracao De Franquias Ltda(Fitland Administracao De Franquias Ltda ),298400.0,0.0,298400.0,,,31
Compropay(Compropay Meios De Pagamentos Ltda )(Comprocard Ltda),298000.0,298000.0,,,,29
Grupo Boticário(Pos Cash Servicos De Informatica Ltda),297726.7,282000.0,,15726.7,,8
Paixao Pela Danca Confeccoes Ltda(Paixao Pela Danca Confeccoes Ltda),297281.4,289400.0,7881.4,,,24
Macrocentral(Makro Central De Aviamentos Ltda)(Makro Central De Aviamentos Ltda.),297000.0,297000.0,,,,13
Betvitória Apostas Online | (Bc Solucoes E Servicos Em Marketing Ltda ),296445.83999999997,231000.0,63345.84,2100.0,,29
Alfa Dream Ltda(Alfa Dream Ltda),292868.0,292868.0,,,,8
Wood Prime(Wood Prime Industria E Comercio De Moveis Ltda ),292000.0,270000.0,12000.0,10000.0,,27
Amaze Travel(Amaze Agencia De Viagens Ltda ),291100.0,290100.0,,1000.0,,45
Arbore Engenharia Ltda(Arbore Engenharia Ltda ),289625.0,284750.0,,4875.0,,36
Televisao Cidade Verde S/A  .(Televisao Cidade Verde S/A  .),289370.0,289370.0,,,,19
A.F. Wagner Sociedade Individual De Advocacia(A.F. Wagner Sociedade Individual De Advocacia),288000.0,288000.0,,,,15
Jacuzzi(Jacuzzi Do Brasil Industria E Comercio Ltda),288000.0,288000.0,,,,24
Maximize - Equatorial Energia(Maximize Servicos De Internet Ltda),288000.0,288000.0,,,,16
Saude & Forma-Farmacia De Manipulacao E Homeopatia Ltda(Saude & Forma-Farmacia De Manipulacao E Homeopatia Ltda ),286000.0,286000.0,,,,11
Luchini Chevrolet Atibaia(Irmaos Luchini S A Comercial Auto Pecas),285364.71,59705.0,,135139.25,90520.46,23
Grupo Malwee (Malwee Malhas Ltda ),285000.0,285000.0,,,,19
Mania De Churrasco - Franqueadora(Associacao De Rede De Franquia Mania De Churrasco Prime Steak House),281843.3799999999,281843.3799999999,,,,14
Ati-Assessement Tools International (Assessment Tools International Consultoria Ltda),280000.0,280000.0,,,,28
Anhembi Morumbi | Faculdade (Polos) (Centro De Educacao Integrada Racl Ltda ),278200.0,278200.0,,,,24
Zathura Materiais Elétricos(Comercial Zathura Materiais Eletricos Ltda),277500.0,277500.0,,,,17
Drogaria Canedo Ltda  .(Drogaria Canedo Ltda  .),276500.0,276500.0,,,,27
Overcome(V. A. De Moraes Comercio Ltda.),276481.16000000003,198000.0,78481.16,,,11
Ma Hospitalar (Monteiro Antunes - Insumos Hospitalares Ltda),276421.22,276000.0,,,421.22,46
Creative Pack(Creative Pack Intermediacao Empresarial Ltda ),273000.0,273000.0,,,,26
Super Prix(Superprix Lojas De Alimentos Ltda),272800.0,272800.0,,,,8
Start Quimica(Lima & Pergher Industria E Comercio S/A ),272200.0,272200.0,,,,34
Bni Brasil(Business Networking Master Franquia Brasil Ltda),270000.0,270000.0,,,,9
Calvin Klein(Wbr Industria E Comercio De Vestuario Ltda.),270000.0,270000.0,,,,18
Iara Schneider Advogados | 4 Unidades (Sul) (Iara Schneider - Sociedade Individual De Advocacia ),270000.0,270000.0,,,,27
Mantiqueira Brasil (Mantiqueira Alimentos Ltda.),270000.0,270000.0,,,,18
Nacional Imoveis(Meneguetti & Cia Ltda),270000.0,270000.0,,,,9
Super E Suplementos Alimentares(Super E Suplementos Alimentares Ltda )(Super E Suplementos Alimentares Ltda),269600.0,269600.0,,,,16
Easy Toque.(Steel Metal Industria Metalurgica Eireli),269000.0,269000.0,,,,29
Aba Correntes(Aba Correntes E Engrenagens Ltda ),267560.0,267560.0,,,,28
Opção Telecom(Opcaotelecom Telecomunicacoes S/A),266384.4,266384.4,,,,18
Agroneri(Agroneri Sistemas De Irrigacao Ltda),265500.0,150000.0,115500.0,,,17
Img Empreendimentos Imobiliarios Ltda.,265000.0,265000.0,,,,53
Minha Cirurgia Solucoes Financeiras(Minha Cirurgia Solucoes Financeiras Ltda ),264500.0,264500.0,,,,36
Ises Instituto Santanense De Ensino Superior(Ises Instituto Santanense De Ensino Superior),264238.0,264238.0,,,,13
"704 Do Brasil Ltda.(704 Do Brasil Ltda.)",264000.0,264000.0,,,,66
Sigse(Sigse),263648.0,263648.0,,,,14
Ferrosul Serralheria Corte E Dobra(Ferrosul Metalurgica E Comercio Eireli ),263300.0,263300.0,,,,37
Feet Of Tomorrow(Fot - Feet Of Tomorrow Ltda),262500.0,262500.0,,,,24
Sjt Comercio De Vestuario Feminino Ltda(Sjt Comercio De Vestuario Feminino Ltda ),262083.32,248750.0,,13333.32,,33
Delta Materiais Eletricos E Hidraulicos,262000.0,262000.0,,,,53
E.L. Gregorin Sant Ana Informatica(E.L. Gregorin Sant Ana Informatica Ltda ),262000.0,262000.0,,,,19
Sofá Show(W R Dos Santos Peres Colchoes),262000.0,262000.0,,,,18
Philos Cultural - Assessoria Byline - Escopo Fechado(Renata Aparecida Bezerra Ferraz Dos Santos Producoes),260000.0,260000.0,,,,3
Toro Participações E Investimentos Ltda(Toro Participações E Investimentos Ltda),260000.0,210000.0,,50000.0,,8
Physiomed Importacao E Comercio Ltda.(Physiomed Importacao E Comercio Ltda.),259500.0,259500.0,,,,26
Rede Ioa(Ioa Franquias Ltda ),259100.0,255500.0,3600.0,,,31
Alquimia Produtos Quimicos Para Industrias Ltda(Alquimia Produtos Quimicos Para Industrias Ltda ),259000.0,259000.0,,,,37
Agibank(Banco Agibank S.A ),257600.0,257600.0,,,,8
Del Rey Defumados Industria Ltda(Del Rey Defumados Industria Ltda),256000.0,256000.0,,,,16
Human Doctors (Human Comercio De Alimentos Ltda ),255000.0,255000.0,,,,20
Asper Tecnologia Ltda(Asper Tecnologia Ltda),254835.7900000001,254835.7900000001,,,,16
Dullius E-Commerce,253519.91,253000.0,519.91,,,37
Furious Equipment(Afr Fit Ltda ),253266.47,223600.0,29666.47,,,28
Pires Embalagens,253000.0,253000.0,,,,51
Conquer In Company(Conquer Holding Educacional ),252745.91999999984,252745.91999999984,,,,27
Ld Jóias,252104.80000000002,236500.0,,881.16,14723.640000000001,43
Atw Franchising E Consultoria Sa | Dark Kitchen | Atw Delivery Brands,252000.0,252000.0,,,,7
Lotevendas(Lotevendas Assessoria E Servicos Ltda ),252000.0,252000.0,,,,36
Materiais De Construcao Fachi(Materiais De Construcao Fachi Ltda. ),252000.0,252000.0,,,,34
Portão 3(Portao 3 Viagens Ltda.),252000.0,252000.0,,,,14
Agro Atlas Brasil Ltda - Isaas (Agro Atlas Brasil Ltda),247000.0,42000.0,205000.0,,,21
Só Multas | Franqueadora | (Só Multas Franchising Ltda  .),246000.0,246000.0,,,,23
Pertech Brasil(Pertech Do Brasil Ltda ),245950.01999999996,245659.19999999995,,,290.82,47
Casa Do Conforto,245250.0,245250.0,,,,51
Life Sorrisos(Odontolife Ltda )(Life Sorrisos Franchising Ltda.),244300.0,244300.0,,,,25
Avb Do Brasil Comercial Ltda(Avb Do Brasil Comercial Ltda ),244000.0,244000.0,,,,32
W & M Web Design Ltda,243000.0,243000.0,,,,27
Tramitacao Inteligente(Tramitacao Inteligente Ltda ),240005.0,240005.0,,,,26
Etapa Educacional(Etapa Educacional - Eireli ),240000.0,240000.0,,,,24
Public Empresarial(Public Desenvolvimento Empresarial E Eventos Ltda),240000.0,240000.0,,,,8
Solutti Office(Solutti Office Moveis Para Escritorio Eireli ),240000.0,240000.0,,,,44
Moinhos Fitness(Ipiranga Academia - Eireli ),238095.54,184500.0,53595.54000000001,,,41
"8pk Ar Condicionado Automotivo(8pk Pecas Para Veiculos Ltda)",236650.0,236650.0,,,,22
Lemes Pimentel Distribuidora De Cosmeticos Eireli(Lemes Pimentel Distribuidora De Cosmeticos Eireli),236587.31,153000.0,,,83587.31,9
Click Promocional Brindes Eireli(Click Promocional Brindes Eireli ),236500.0,236500.0,,,,43
P. Severini Netto Comercial Ltda(P. Severini Netto Comercial Ltda),235000.0,235000.0,,,,7
Sicoob Paulista(Cooperativa De Credito De Livre Admissao Do Estado De Sao Paulo - Sicoob Paulista ),235000.0,235000.0,,,,19
Cooperativa Central Gaucha(Cooperativa Central Gaucha Ltda),234792.11000000002,209500.0,2254.76,,23037.35,13
Oral Unic | Fortaleza/Ce (Oral Unic Fortaleza Ltda ),234500.0,234500.0,,,,23
Drogafuji (Drogaria Alameda Ltda),234000.0,234000.0,,,,46
"Exceed Park Atividades De Recreacao, Lazer E Entretenimento Ltda(Exceed Park Atividades De Recreacao, Lazer E Entretenimento Ltda )",234000.0,234000.0,,,,39
Florida(Florida E Batista Atividades Administrativas Ltda ),234000.0,234000.0,,,,26
Sales Prime - Dani Martins (Dmo Treinamento E Desenvolvimento Profissional Ltda),233961.0,233961.0,,,,13
Agrobar Brasil(Folks Franqueadora Ltda),233250.0,88000.0,145250.0,,,11
Abismo Anhumas (Natural Experiences Viagens Ltda ),232334.74999999997,216359.74999999997,,15975.0,,28
Valec Seminovos(Valec Distribuidora De Veiculos Ltda),232003.39000000004,89837.0,,106983.59000000004,35182.8,23
Sf Saúde Carf(Sf Saude Ltda ),232000.0,232000.0,,,,25
Piperun(Odig - Solucoes Digitais Ltda ),231000.0,231000.0,,,,21
Pousada Camurim Grande(Pousada Camurim Grande Ltda ),231000.0,231000.0,,,,21
R-Crio Criogenia S/A(R-Crio Criogenia S/A),230833.38,161500.0,69333.38,,,19
Skelt Cosméticos & Creamy Skincare | E-Com (Beauty Labs Cosmeticos Ltda.),230607.0,230607.0,,,,9
Diasa Comercio E Distribuicao Ltda(Diasa Comercio E Distribuicao Ltda),230000.0,230000.0,,,,10
Clinica Binder(Clinica Binder Ltda )(Clinica Binder Ltda ),229500.0,229500.0,,,,31
Sft,229000.0,229000.0,,,,50
Sr Consulting(Sr Consultoria De Software Ltda )(Sr Consultoria De Software Ltda),228806.25,228806.25,,,,23
Bullguer(Bullguer Alimentacoes S.A. Em Recuperacao Judicial ),228400.0,228400.0,,,,24
[G4 I&M - T-88]Medens(Emfils - Industria E Comercio De Produtos Odontologicos Ltda),228000.0,228000.0,,,,7
Cimmo,228000.0,228000.0,,,,53
Rafael Medina Da Paz Sociedade Individual De Advocacia(Rafael Medina Da Paz Sociedade Individual De Advocacia),228000.0,228000.0,,,,24
Ita Peças Para Veículos Comércio E Serviços Ltda.(Ita Pecas Para Veiculos Comercio E Servicos Ltda 2),227126.32000000004,227126.32000000004,,,,8
Advantech(Advantech Brasil Ltda )(Advantech Brasil Ltda),225628.90000000008,225628.90000000008,,,,21
"Espindola Comércio De Roupas, Cama, Mesa, Banho Ltda.(Espindola Comércio De Roupas, Cama, Mesa, Banho Ltda.)",225500.0,225500.0,,,,41
Dental Partner (Dental Partner Comercio De Produtos E Equipamentos Odontologicos Ltda),225000.0,225000.0,,,,45
Eletrobidu --- Weg --- (Asc Engenharia Eletrica Ltda ),225000.0,225000.0,,,,9
Lebes 10,224981.8600000001,224981.8600000001,,,,23
Lebes 11,224981.8600000001,224981.8600000001,,,,23
Lebes 12,224981.8600000001,224981.8600000001,,,,23
Lebes 13,224981.8600000001,224981.8600000001,,,,23
Lebes 4,224981.8600000001,224981.8600000001,,,,23
Lebes 5,224981.8600000001,224981.8600000001,,,,23
Lebes 6,224981.8600000001,224981.8600000001,,,,23
Lebes 7,224981.8600000001,224981.8600000001,,,,23
Tratamento De Queratina Brasileiro Pty Ltd(Tratamento De Queratina Brasileiro Pty Ltd ),224700.0,224700.0,,,,36
Luchini Tratores(Luchini Tratores E Equipamentos Ltda),223738.2,93247.0,,36087.95,94403.24999999999,23
Alphabeto | Franqueadora | Projeto: E-Com (J.M.F. Comercio De Roupas Ltda  ),223300.0,223300.0,,,,29
Kian Iluminação(Kian Importacao Ltda ),223200.0,223200.0,,,,26
Sisma Prateleiras E Francis Office.(Francis Office Moveis E Servicos Inteligentes Ltda ),222900.0,222900.0,,,,44
Protelim(P.F.L Distribuidora Ltda),222047.0,222047.0,,,,10
Laborprint Grafica E Editora Ltda(Laborprint Grafica E Editora Ltda),222000.0,222000.0,,,,18
Avanti Intermediacoes De Negocios Empresariais Ltda(Avanti Intermediacoes De Negocios Empresariais Ltda),221500.0,221500.0,,,,20
Abx Saude Ltda(Abx Saude Ltda),221000.0,221000.0,,,,7
Folheto Digital(Fd Marketing Digital Eireli ),220500.0,220500.0,,,,21
Grupo Salus | Franqueadora (Ssad Marketing E Publicidade Ltda ),220500.0,220500.0,,,,42
Dexter Imóveis (Dexter Imoveis Ltda ),220022.0,220022.0,,,,29
Espanha Fácil (Espanha Facil Servicos Ltda),220000.0,220000.0,,,,16
Fator Seguradora Sa(Fator Seguradora Sa ),220000.0,220000.0,,,,10
Allkit(Qit Equipamentos E Mobiliarios Profissionais - Eireli ),219500.0,219500.0,,,,31
Priore Metalurgia(Priore Metalurgia Ltda),218700.0,218700.0,,,,9
Hike - Remoto(Pdc Participacoes Ltda),217500.0,217500.0,,,,6
Bhub(Bhub Servicos E Tecnologia Ltda ),217000.0,217000.0,,,,5
Hard(Hard Produtos Para Construcao Ltda ),216835.0,216835.0,,,,36
Park Idiomas,216000.0,216000.0,,,,18
Casa(Casa),215840.0,215840.0,,,,16
Medeiros & Queiroga Servicos Medicos,215000.0,215000.0,,,,46
Marimar The Place,214834.19,184500.0,30334.190000000002,,,41
Refuturiza(Refuturiza Empreendimento Educacional S.A),213842.75,213842.75,,,,11
Mercado Bitcoin Servicos Digitais Ltda(Mercado Bitcoin Servicos Digitais Ltda.),213500.0,213500.0,,,,7
Unypos,213062.07,210000.0,2069.0699999999997,700.0,293.0,55
Italínea | Verona-Bento Gonçalves/Rs (Italinea Industria De Moveis Ltda),213000.0,208000.0,5000.0,,,9
Hgmax(Hgmax Comercio Importacao E Exportacao De Equipamentos Ltda. ),212500.0,212500.0,,,,25
Klaus-Driftbrasil(Klaus-Driftbrasil),211347.00000000003,211347.00000000003,,,,10
"Viacerta(Via Certa Financiadora S/A - Credito, Financiamento E Investimento)",211332.0,211332.0,,,,22
Ogfi Outsourcing E Governanca Financeira Ltda - Assessoria Byline - Escopo Fechado(Ogfi Outsourcing E Governanca Financeira Ltda),210590.0,210590.0,,,,3
Mf Medicina(Marcela Ferreira De Oliveira),210500.0,207500.0,,3000.0,,22
Academia Siga O Ritmo.(Academia Siga O Ritmo.),210000.0,210000.0,,,,30
